label,text
0,Ha! Hello wouldn't say that I just didn't read anything into way u seemed. I don't like 2 be judgemental....i save that for fridays in the pub!
0,"Honey, Marcus you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday"
0,"Priya Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at &lt;EMAIL&gt; ,kerala"
1,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity 
1,Free £5000 in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
0,The meeting is at around noon. Don't be late!
0,On my way home. Should be back soon.
0,Running 30 mins late. Sorry!
0,Kevin dunno they close oredi not... Ü v ma fan...
0,Sounds good to me! See you there.
0,"Sure, that works for me at 7."
0,Where are you? We've been waiting.
1,Special offer! Get 30% OFF latest handset. Limited time only. Visit www.mobilereward.co.uk or call 09061743806.
0,The meeting is at at 8:30. Don't be late!
0,Hey andros ice etc etc
0,"Aisha Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with"
0,Chloe I'll see if I can come by in a bit
0,Can you pick up the kids? Let me know.
0,Wait.i will Wei out.. &lt;#&gt; min:)
0,Let me know when you're awake.
1,a brand new iPhone entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
0,Can we reschedule to at 7?
0,Are you still at work yet? I'm heading out now.
0,Am I the only one who doesn't stalk profiles?
0,If Good morning were/are free i can give. Otherwise nalla adi entey nattil kittum
0,Hiya call me da. What happen.
0,"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor..."
0,I Yo NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA
0,Yeah Dan if tyler can't do it I could maybe ask around a bit
0,Are you nearby yet? I'm heading out now.
0,Got it. Will do.
0,Don't forget we have the appointment at 7.
0,Just finished work. Exhausted. could be worse.
1,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
1,"YOU VE WON! gift voucher 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
0,Let me know when you're awake.
0,Thank you Lisa I cant wait to taste the real thing...
1,a free cruise Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
0,I am Raj I will be there at
0,"Hey Jake, pass it along"
1,You have 4 unclaimed messages. Call 08000930705 to hear them. Cost: 12p/min.
1,LAST CHANCE: 70% off everything. Use code NOW. Offer ends 30/11.
0,Whatsup there. Wei u want to sleep
0,yay! finally lol. i missed our cinema trip last week :-(
0,Can't talk right now. Will call you this evening.
0,Text her. Dan she doesnt reply let me know so i can have her log in
0,Good night! Sleep well Chloe.
0,Can you call me? Let me know.
0,Stupid.its not possible
0,I'll be there this evening. See you!
0,Are you home yet? I'm heading out now.
0,Are you done yet? I'm heading out now.
0,Lol or I could just starve and lose a pound by the end of the day.
1,As part of our National draw you have qualified for a £900 prize reward. Call 07749741378 NOW.
1,Congratulations! You've won 2 VIP tickets in our prize draw. Call 07749741378 within 48hrs to claim.
0,The meeting is at in 10 minutes. Don't be late!
0,Call me when you get a chance.
1,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
0,"Sorry, was busy. What's up?"
0,Crucify Nadia c not s. You should have told me earlier.
1,CLAIM your FREE wallpaper worth £450! Text FREE to 81303. 18+ only.
0,meet you Marcus corporation st outside gap … you can see how my mind is working!
0,No Hey new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch
0,Morning that must be a pain to catch
1,6 voicemails waiting. Call 07749741378 to retrieve. Cost 150p per minute.
0,"Sup gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
0,"Aight, call Raj once you're close"
0,"Sorry that took so long, omw now"
0,Dinner at that new café at next week?
1,ALERT: You are owed a tax refund of £150. Apply now at www.urgreatm8.com or call 09064019788.
1,a £200 Argos voucher have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
0,I think just yourself …Thanks and see you tomo
0,Lol no. U can trust me.
0,Call me when you get a chance.
0,K.i will send in  &lt;#&gt;  min:)
0,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
0,I Wei your number to gautham..
1,As a valued customer you have been selected for a a luxury holiday reward! Redeem at www.urgreatm8.com. Expires end of month.
0,Sam k.i think most of wi and nz players unsold.
0,I'm Zara but have to wait till 2 for the bus to pick me.
0,Don't forget we have lunch in an hour.
0,"Sorry, was busy. What's up?"
0,K..k:)how about Hi training process?
0,Can ü all decide faster cos my sis going home liao..
0,Lena took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow!
0,Nadia says hi btw.
0,Hiya! What are you up to?
0,Nope Jake fine. I might have a nap tho!
0,"I Hi you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
1,WINNER!! You have been selected to receive a luxury holiday. Call 07749741378 NOW to claim. Offer ends midnight tonight.
0,Just wanted to say I'm proud of you.
0,Chloe you willing to go for aptitude class.
0,Did you get my message?
1,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705
0,On my way home. Should be back this evening.
0,Hi its Raj how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
0,Is there Hey friday is leave for pongal?do you get any news from your work place.
0,NOT Good morning TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?
0,"It's Dan that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
1,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
0,Lol yeah let's talk later
1,DOUBLE your minutes free! Text URGENT to 82277. Limited offer - ends 15/12.
0,You said not now. No problem. When you can. Let me know.
0,Lol yeah joking only
1,2 voicemails waiting. Call 09065989182 to retrieve. Cost 50p per minute.
0,It was great seeing you today!
0,"Geeeee ... Your internet is really bad today, eh ?"
0,Running a few mins late. Sorry!
0,Just taste Kevin curry :-P
0,Got your email. Thanks!
0,Sam clarify back if an open return ticket that i have can be preponed for me to go back to kerala.
0,Sounds good to me! See you there.
0,Call me when you get a chance.
0,Bring Hey some Wendy =D
0,Can we reschedule to in an hour?
0,Running 30 mins late. Sorry!
0,Where are you? We've been waiting.
1,85233 FREE>Ringtone!Reply REAL
0,The meeting is at in 10 minutes. Don't be late!
0,Sup! What are you up to?
1,Hot singles in your area! Reply NOW for FREE access. Text CASH11 to 62735.
1,"TheMob> Check out a brand new iPhone newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
0,Good morning eviction this week - Spiral and Michael and good riddance to them!
0,"Hello search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
0,Just wanted to say I really enjoyed it.
1,Hot singles in your area! Reply NOW for FREE access. Text NOW to 85023.
0,it's Lisa not working. And this time i also tried adding zeros. That was the savings. The checking is &lt;#&gt;
0,Thanks for the gift. Really appreciate it.
0,"Sorry, I'll call later"
0,"Hey Chloe, call me"
1,"Latest News! Police station toilet stolen, cops have nothing to go on!"
1,Todays camera phone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
0,Jason Zara it's cool if we pick some up from his place in like an hour
0,Just finished work. Exhausted. I'm proud of you.
0,Can't talk right now. Will call you by 5pm.
0,"Kevin pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
0,Probably earlier than that if the station's where I think it is
0,Men Good morning shorter ladies. Gaze up into his eyes.
1,"a brand new iPhone till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
1,"Hi there, 2nights a luxury holiday lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
0,Just wanted to say could be worse.
0,Got it. Will do.
0,Call me when you get a chance.
0,Ok
0,Today is Jake DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
0,The meeting is at this evening. Don't be late!
0,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
0,Got it. Will do.
1,Ur cash-balance a brand new iPhone currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
0,Where are you? We've been waiting.
0,The meeting is at in an hour. Don't be late!
0,Can we reschedule to later?
0,U know we watchin at lido?
0,Thanks for being there. Really appreciate it.
0,As in different styles?
0,Quite lor. But dun tell him wait he get complacent...
0,It was great seeing you today!
0,Is ur lecture over?
0,Ok lar... joking only
0,"Sorry, was busy. What's up?"
0,Running 10 mins late. Sorry!
0,Get Tom in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
0,Kevin says hi btw.
0,Can you book a table? Let me know.
0,K:)k.are you in college?
0,Got it. Will do.
1,WINNER!! You have been selected to receive £5000. Call 07908793681 NOW to claim. Offer ends 15/12.
1,"For ur 2 VIP tickets to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
1,"Thanks for your £5000 Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
0,Are you nearby yet? I'm heading out now.
1,Sunshine Quiz Wkly a weekend break for two Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
0,Don't forget we have the game tomorrow morning.
0,Let me know when you're back.
0,Badrith is Zara for chennai:)i will surely pick for us:)no competition for him.
0,Can you call me? Let me know.
1,YOU dating club membership WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
0,"Sorry, Sam guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
0,I was just thinking about you. Hope all is well.
0,Where are you? We've been waiting.
0,"Hey Emma I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
0,"Hey Dan, sort it out"
0,Where are you? We've been waiting.
0,Just wanted to say I'm proud of you.
0,"Kevin baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
0,"Hey Lisa, take out the trash"
0,I'll pick up email from the store. Need anything else?
0,Jake like trying kadeem again? :V
1,"Your news alert subscription has been renewed. To cancel, text STOP to 86688."
1,Your reward of €1500 cash is waiting! Do not ignore this message. Call 09064019788 before this Friday.
1,You are a gift voucher you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
1,"You £1000 cash won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
0,Ok I'll come over tomorrow morning. Is that fine?
1,WINNER!! You have been selected to receive €1500 cash. Call 08712101358 NOW to claim. Offer ends 01/01.
0,Have you eaten yet? Want to grab something?
0,It is Jake yesterday true true.
0,Good night! Sleep well Wei.
1,You are designer watch a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
0,Easy ah?sen Emma selected means its good..
0,Wat uniform? Dan where get?
1,Special offer! Get 40% OFF movie pass. Limited time only. Visit www.txtthem.com or call 09058091854.
0,Do you want anything from the shops?
0,Just finished work. Exhausted. that was fun.
0,Don't forget we have the presentation tonight.
0,Hello! What are you up to?
0,Happy Eid! Hope you have a great day!
0,Priya dont understand your message.
0,"Sorry, was busy. What's up?"
0,Hey! What are you up to?
0,Lol yeah you know how it is
0,Miss you! When are you coming back?
0,Ok lar... joking only
1,As a valued customer you have been selected for a a brand new iPhone reward! Redeem at www.txtthem.com. Expires 29/03.
0,Chris U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
0,As in i want custom officer discount oh.
0,Can we reschedule to at 8:30?
0,Did you get my charger?
0,She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance
0,Sorry that was my uncle. I.ll keep in touch
0,Got it. Will do.
0,Just wanted to say could be worse.
0,Marcus at were hungry too
0,Don't forget we have dinner in 10 minutes.
0,Zara i had my food da from out
0,"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do"
0,Thanks for the advice. Really appreciate it.
0,"Are Emma sure you don't mean ""get here, we made you hold all the weed"""
1,"FREE wallpaper! To receive yours, text CASH11 to 86688. Std rates apply. T&C: www.smsclub.mobi"
0,Running a few mins late. Sorry!
0,Ok I'll come over tomorrow morning. Is that fine?
0,Let me know when you're ready.
0,Are you Hey now?can i call now?
0,Thanks for the invite. Really appreciate it.
1,"FREE RING TONE £1000 cash text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk."
0,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome"
0,Just curious because my cuz asked what I was up to
0,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
1,"Think ur smart movie pass Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
0,I Dan my lunch already. U wake up already?
0,Can we reschedule to in 10 minutes?
0,Can you grab some milk? Let me know.
0,Good night! Sleep well Kevin.
0,We should catch up soon. It's been ages!
1,Do £250 Tesco voucher want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
0,Where are you? We've been waiting.
0,On my way home. Should be back later.
0,K. Did Hey call me just now ah?
0,I'll pick up report from the store. Need anything else?
0,Miss you! When are you coming back?
0,Are you still at work yet? I'm heading out now.
0,Did you get my wallet?
1,Had 2 VIP tickets mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
0,Miss you! When are you coming back?
1,You have won designer watch Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
0,Miss you! When are you coming back?
0,Did you get my document?
0,"Sure, that works for me at 8:30."
0,Ok k... let's talk later
0,Miss you! When are you coming back?
0,On my way home. Should be back on Saturday.
1,Congratulations! You've won a £200 Argos voucher in our prize draw. Call 07908793681 within 48hrs to claim.
0,Running 30 mins late. Sorry!
0,Just wanted to say could be worse.
0,Sounds good to me! See you there.
0,I'm on my way. Should be there by 8.
0,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?
1,WIN a £1000 shopping spree! Text NOW to 81303 now. Ends 01/01. T&Cs apply.
0,Just saw your message. Just got out
0,Ok I'll come over around noon. Is that fine?
0,Dinner at that new café at in 10 minutes?
0,Thanks for listening. Really appreciate it.
0,Can you come over? Let me know.
0,I Jake your number to gautham..
0,Going Morning a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
0,Sry da..jst Wei only i came to home..
0,Sam I booked all already... Including the one at bugis.
0,Priya a good trip. Watch out for . Remember when you get back we must decide about easter.
0,Nah Morning goin 2 the wrks with j wot bout u?
0,Got it. Will do.
0,X2 Hello . Are you going to get that
0,Ok dear... let's talk later
1,"FREE designer watch! To receive yours, text WIN to 86688. Std rates apply. T&C: www.prize-claim.net"
0,Thank Yo IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE
0,Ok...
0,Thanks for being there. Really appreciate it.
0,Ok I'll come over by 5pm. Is that fine?
0,I was just thinking about you. Hope all is well.
0,I was just thinking about you. Hope all is well.
0,"Got fujitsu, Aisha hp, toshiba... Got a lot of model how to say..."
0,"Kevin is down but I have to pick it up from him, so I'll swing by usf in a little bit"
0,Then mum's repent how?
0,Omg Joanna Yo freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/
0,Dinner at that new café at by 5pm?
0,Sam not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
1,Your reward of a weekend break for two is waiting! Do not ignore this message. Call 09065989182 before 31/12.
0,Do you want anything from the shops?
0,Cps is Good morning the outages to conserve energy.
0,Call me when you get a chance.
0,I Chris 4 ü inside da car park...
0,Good night! Sleep well Pete.
0,I'm on my way. Nearly there.
0,"Dan But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
1,"Think 2 VIP tickets smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
0,We should catch up soon. It's been ages!
0,We should catch up soon. It's been ages!
0,Lol yeah don't worry about it
0,Happy New Year! Hope you have a great day!
0,Happy Mother's Day! Hope you have a great day!
0,Miss you! When are you coming back?
0,Good. Good job. I like entrepreneurs
0,Just finished work. Exhausted. that was fun.
0,"Although i Kevin u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
0,Let me know when you're back.
0,I'm on my way. Nearly there.
0,Well boy am I glad G wasted all night at applebees for nothing
0,Don't forget we have the party next week.
1,"FREE wallpaper! To receive yours, text NOW to 81303. Std rates apply. T&C: www.prize-claim.net"
1,"FREE ringtone! To receive yours, text CLAIM to 62735. Std rates apply. T&C: www.smsclub.mobi"
0,"Yes, princess. Toledo."
0,Lol yeah thought so
1,IMPORTANT: Your horoscope expires today. Renew at www.urgreatm8.com or call 08712101358 to continue.
0,No Marcus just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
0,The meeting is at at 7. Don't be late!
1,"Congratulations! Thanks €1500 cash a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
0,Mia felt so...not any conveying reason.. Ese he... What about me?
1,You've been chosen to receive a FREE gift voucher upgrade! Call 09064019788 or visit www.l-11.com.
0,Sounds good to me! See you there.
0,"Sorry, I'll call later ok bye"
0,Chloe hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
1,ALERT: You are owed a tax refund of £200. Apply now at www.l-11.com or call 09065989182.
0,Can't talk right now. Will call you by 5pm.
0,"Do 1 Luke Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""
0,"Sorry, I'll call later"
0,I'll pick up bag from the store. Need anything else?
0,I was just thinking about you. Hope all is well.
0,TaKe CaRE n gET WeLL sOOn
0,I'll pick up wallet from the store. Need anything else?
0,I HAVE A DATE ON SUNDAY WITH WILL!!
0,Come Hello our room at some point so we can iron out the plan for this weekend
0,"Sorry, I'll call later in meeting"
0,No one interested. May be some business plan.
0,Thanks Raj this hope you had a good day today
0,I Sam askd u a question some hours before. Its answer
0,"Sorry, was busy. What's up?"
0,Can you book a table? Let me know.
0,Can't talk right now. Will call you at 8:30.
0,The meeting is at later. Don't be late!
0,"Dan battery died, yeah I'm here"
0,Lena way works for me. I am &lt;#&gt; years old. Hope that doesnt bother you.
0,It was great seeing you today!
0,"Hey Sam, check the fridge"
0,"K, wait Marcus send aftr &lt;#&gt; mins"
0,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
0,Happy Christmas! Hope you have a great day!
0,"Sorry, was busy. What's up?"
0,"Hey Kevin, let me know when you're back"
0,Ah Sam Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
0,"says Sup he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
0,If Pete get there before you after your ten billion calls and texts so help me god
0,Probably money Jake Things are coming due and i have several outstanding invoices for work i did two and three months ago.
0,Do you want anything from the shops?
0,Sounds good to me! See you there.
1,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
0,Thanks for the advice. Really appreciate it.
0,Id onluy matters when getting on from offcampus
0,Just finished work. Exhausted. you're awesome.
0,Luke that was a forwarded message. I thought you send that to me
0,"Sorry, was busy. What's up?"
0,Thanks for the advice. Really appreciate it.
0,Cancel cheyyamo?and get some money back?
0,On my way home. Should be back around noon.
0,"I Emma i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
0,Can you just come in for a sec? There's somebody here I want you to see
0,Let me know when you're ready.
0,The meeting is at in an hour. Don't be late!
1,Ur cash-balance €1500 cash currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
0,Luke bday real is in april .
0,Hi! What are you up to?
0,Call me when you get a chance.
0,Don't forget we have lunch later.
0,I'm Good morning home. Please call
0,Yo sorry Lisa in the shower sup
0,Hiya! What are you up to?
0,Where are you? We've been waiting.
0,"Good morning, Hey suffering from fever and dysentry ..will not be able to come to office today."
0,Yeah I Good morning see why not
0,We should catch up soon. It's been ages!
0,Have you eaten yet? Want to grab something?
0,"Hiya, probably Nadia home * weekend after next"
0,"Hey Sam, sort it out"
0,Yes. Please Priya at &lt;#&gt; . So that at &lt;#&gt; we can leave
0,"I know Tom feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?"
0,Jake cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
0,How Marcus you change my ring
0,Don't forget we have the call soon.
0,Just wanted to say that was fun.
1,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+
1,Free entry wallpaper 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
0,Hi Yo is the todays class?
1,dating club membership U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
0,Running 30 mins late. Sorry!
1,LAST CHANCE: 30% off everything. Use code PRIZE. Offer ends in 24 hours.
0,Did you get my the thing we discussed?
0,We should catch up soon. It's been ages!
1,"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only £1.50/wk."
0,"Mostly sports type..lyk footbl,crckt.."
0,"Dan I'll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah..."
0,Tom da..jst nw only i came to home..
0,Dont pick Morning d call when something important is There to tell. Hrishi
1,a luxury holiday (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
0,Got your charger. Thanks!
1,"Your SMS club subscription has been renewed. To cancel, text STOP to 85023."
0,Ok dear... no big deal
0,Running 10 mins late. Sorry!
0,Where are you? We've been waiting.
0,Got your message. Thanks!
0,Miss you! When are you coming back?
0,Happy Mother's Day! Hope you have a great day!
0,Already home. How about you?
0,Uhhhhrmm isnt Nadia tb test bad when youre sick
0,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
0,Call me when you get a chance.
0,Did u got that persons story
0,Don't forget we have dinner this evening.
0,On my way home. Should be back in 10 minutes.
0,Did you get my document?
0,"I'll get there at 3, unless you guys want me to come some time sooner"
0,I'll pick up keys from the store. Need anything else?
0,It was great seeing you today!
0,Aisha come wenever u lik to come and also tel vikky to come by getting free time..:-)
0,You still at the game?
0,Not Aisha Only maths one day one chapter with in one month we can finish.
0,Lol yeah just checking in
0,I'm on my way. Be there in 10.
0,Are you at the gym yet? I'm heading out now.
0,Miss you! When are you coming back?
0,"Sad story Jake a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
0,Wei it your yahoo boys that bring in the perf? Or legal.
0,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
0,Please Sup this topic..sorry for telling that..
0,You didn't Hi to tell me that...now i'm thinking. Plus he's going to stop all your runs
0,No Hello hope photo shoot went well. have a spiffing fun at workage.
0,Ü go home liao? Ask dad to pick me up at 6...
